1. DocId : 6328 | Concept_CD : SYN|ANA:YPAPD | NAME_CHAR : Poids
2. DocId : 73335 | Concept_CD : SYN|ANA:YPAPA | NAME_CHAR : Poids
3. DocId : 198024 | Concept_CD : SYN|ANA:YPAPB | NAME_CHAR : Poids
4. DocId : 262735 | Concept_CD : SYN|ANA:YPAPE | NAME_CHAR : Poids
5. DocId : 303307 | Concept_CD : SYN|ANA:YPAPC | NAME_CHAR : Poids
24. DocId : 11966 | Concept_CD : DXC|QUESTION|AUTRE:82415 | NAME_CHAR : 040 - Poids
25. DocId : 12937 | Concept_CD : DXC|QUESTION|AUTRE:139180 | NAME_CHAR : 015 - Poids
26. DocId : 13101 | Concept_CD : DXC|QUESTION|AUTRE:128143 | NAME_CHAR : 005 - Poids (kg)
27. DocId : 14606 | Concept_CD : DXC|QUESTION|AUTRE:54758 | NAME_CHAR : 003 - Poids (kg)
28. DocId : 14621 | Concept_CD : DXC|QUESTION|AUTRE:165678 | NAME_CHAR : 053 - Poids :
29. DocId : 14811 | Concept_CD : DXC|REPONSE:63815-63815|26596 | NAME_CHAR : Perte de poids
30. DocId : 15018 | Concept_CD : DXC|QUESTION|AUTRE:13441 | NAME_CHAR : 050 - Poids (kg)
31. DocId : 15221 | Concept_CD : DXC|QUESTION|AUTRE:159582 | NAME_CHAR : 016 - Poids
32. DocId : 16015 | Concept_CD : DXC|QUESTION|AUTRE:45702 | NAME_CHAR : 032 - Poids (kg)
33. DocId : 16070 | Concept_CD : DXC|QUESTION|AUTRE:114523 | NAME_CHAR : 080 - Poids :
34. DocId : 16284 | Concept_CD : DXC|QUESTION|AUTRE:139044 | NAME_CHAR : 019 - Poids
35. DocId : 16371 | Concept_CD : DXC|QUESTION|AUTRE:45580 | NAME_CHAR : 034 - Poids (kg)
36. DocId : 17203 | Concept_CD : DXC|QUESTION|AUTRE:132834 | NAME_CHAR : 017 - Poids (kg)
37. DocId : 17313 | Concept_CD : DXC|QUESTION|AUTRE:117652 | NAME_CHAR : 019 - Poids (Kg)
38. DocId : 18786 | Concept_CD : DXC|QUESTION|AUTRE:79115 | NAME_CHAR : 014 - Poids (kg)
39. DocId : 18788 | Concept_CD : DXC|QUESTION|AUTRE:48885 | NAME_CHAR : 008 - Poids (kg)
40. DocId : 19686 | Concept_CD : DXC|QUESTION|AUTRE:47384 | NAME_CHAR : 022 - Poids (kg)
41. DocId : 19703 | Concept_CD : DXC|QUESTION|AUTRE:83295 | NAME_CHAR : 038 - Poids
42. DocId : 19802 | Concept_CD : DXC|QUESTION|AUTRE:57582 | NAME_CHAR : 019 - Poids (kg)
43. DocId : 21249 | Concept_CD : DXC|QUESTION|AUTRE:149298 | NAME_CHAR : 014 - Poids :
44. DocId : 21363 | Concept_CD : DXC|QUESTION|AUTRE:12757 | NAME_CHAR : 001 - Poids
45. DocId : 22213 | Concept_CD : DXC|QUESTION|AUTRE:85988 | NAME_CHAR : 011 - Poids actuel
46. DocId : 22523 | Concept_CD : DXC|REPONSE:47658-47658|26596 | NAME_CHAR : Perte de poids
47. DocId : 23116 | Concept_CD : DXC|QUESTION|AUTRE:140761 | NAME_CHAR : 023 - Poids
48. DocId : 23528 | Concept_CD : DXC|QUESTION|AUTRE:114168 | NAME_CHAR : 002 - Poids (kg)
49. DocId : 23612 | Concept_CD : DXC|REPONSE:67815-ICD10CHU|R63.4 | NAME_CHAR : Perte de poids anormale
50. DocId : 24844 | Concept_CD : DXC|QUESTION|AUTRE:38694 | NAME_CHAR : 023 - Poids (kg)
51. DocId : 24958 | Concept_CD : DXC|QUESTION|AUTRE:163525 | NAME_CHAR : 123 - Poids habituel
52. DocId : 24984 | Concept_CD : DXC|QUESTION|AUTRE:29284 | NAME_CHAR : 067 - Poids habituel
53. DocId : 26210 | Concept_CD : DXC|QUESTION|AUTRE:38312 | NAME_CHAR : 033 - Poids (kg)
54. DocId : 26765 | Concept_CD : DXC|QUESTION|AUTRE:84124 | NAME_CHAR : 016 - Poids (kg)
55. DocId : 27094 | Concept_CD : DXC|REPONSE:8077-ICD10CHU|R63.4 | NAME_CHAR : Perte de poids anormale
56. DocId : 28568 | Concept_CD : DXC|QUESTION|AUTRE:78834 | NAME_CHAR : 060 - Poids actuel
57. DocId : 31485 | Concept_CD : DXC|QUESTION|AUTRE:162114 | NAME_CHAR : 052 - Poids (kg).
58. DocId : 31518 | Concept_CD : DXC|REPONSE:13460-ICD10CHU|R63.4 | NAME_CHAR : Perte de poids anormale
59. DocId : 33826 | Concept_CD : DXC|QUESTION|AUTRE:143679 | NAME_CHAR : 007 - Poids :
60. DocId : 35271 | Concept_CD : DXC|QUESTION|AUTRE:54559 | NAME_CHAR : 317 - Poids (kg)
61. DocId : 35434 | Concept_CD : DXC|QUESTION|AUTRE:183455 | NAME_CHAR : 079 - Poids (Kg)
62. DocId : 38481 | Concept_CD : DXC|QUESTION|AUTRE:115444 | NAME_CHAR : 072 - Poids
63. DocId : 38905 | Concept_CD : DXC|QUESTION|AUTRE:90354 | NAME_CHAR : 036 - Poids (kg)
64. DocId : 40408 | Concept_CD : DXC|REPONSE:144674-144674|605884 | NAME_CHAR : Perte de poids
65. DocId : 41244 | Concept_CD : DXC|QUESTION|AUTRE:108333 | NAME_CHAR : 003 - Poids (kg)
66. DocId : 45039 | Concept_CD : DXC|QUESTION|AUTRE:36828 | NAME_CHAR : 167 - Poids
67. DocId : 45170 | Concept_CD : DXC|REPONSE:5903-ICD10CHU|R63.4 | NAME_CHAR : Perte de poids anormale
68. DocId : 45517 | Concept_CD : DXC|REPONSE:28192-28192|14288 | NAME_CHAR : Poids < 45 kg
69. DocId : 45734 | Concept_CD : DXC|QUESTION|AUTRE:148214 | NAME_CHAR : 062 - Poids actuel 
70. DocId : 46798 | Concept_CD : DXC|QUESTION|AUTRE:117864 | NAME_CHAR : 043 - Poids (kg)
71. DocId : 47732 | Concept_CD : DXC|QUESTION|AUTRE:187503 | NAME_CHAR : 042 - Poids
72. DocId : 47830 | Concept_CD : DXC|QUESTION|AUTRE:148213 | NAME_CHAR : 061 - Poids habituel
73. DocId : 50286 | Concept_CD : DXC|QUESTION|AUTRE:132211 | NAME_CHAR : 041 - Poids :
74. DocId : 51697 | Concept_CD : DXC|QUESTION|AUTRE:60941 | NAME_CHAR : 017 - Poids (kg)
75. DocId : 52038 | Concept_CD : DXC|REPONSE:156587-156587|599117 | NAME_CHAR : Prise de poids
76. DocId : 54225 | Concept_CD : DXC|REPONSE:4900-ICD10CHU|R63.4 | NAME_CHAR : Perte de poids anormale
77. DocId : 56987 | Concept_CD : DXC|QUESTION|AUTRE:160291 | NAME_CHAR : 004 - Poids :
78. DocId : 58510 | Concept_CD : DXC|QUESTION|AUTRE:44759 | NAME_CHAR : 033 - Poids (kg)
79. DocId : 58672 | Concept_CD : DXC|REPONSE:67653-ICD10CHU|R63.4 | NAME_CHAR : Perte de poids anormale
80. DocId : 61924 | Concept_CD : DXC|QUESTION|AUTRE:40064 | NAME_CHAR : 028 - Poids (kg)
81. DocId : 61994 | Concept_CD : DXC|QUESTION|AUTRE:133636 | NAME_CHAR : 010 - Poids (Kg)
82. DocId : 63513 | Concept_CD : DXC|QUESTION|AUTRE:14903 | NAME_CHAR : 048 - Poids
83. DocId : 63531 | Concept_CD : DXC|QUESTION|AUTRE:46622 | NAME_CHAR : 020 - Poids (kg)
84. DocId : 63885 | Concept_CD : DXC|QUESTION|AUTRE:40716 | NAME_CHAR : 036 - Poids (kg)
85. DocId : 64410 | Concept_CD : DXC|QUESTION|AUTRE:38550 | NAME_CHAR : 019 - Poids (kg)
86. DocId : 64797 | Concept_CD : DXC|REPONSE:13642-ICD10CHU|R63.4 | NAME_CHAR : Perte de poids anormale
87. DocId : 65538 | Concept_CD : DXC|QUESTION|AUTRE:181218 | NAME_CHAR : 017 - Poids
88. DocId : 67618 | Concept_CD : DXC|QUESTION|AUTRE:45211 | NAME_CHAR : 039 - Poids (kg)
89. DocId : 70063 | Concept_CD : DXC|QUESTION|AUTRE:20595 | NAME_CHAR : 002 - Poids (Kg)
90. DocId : 70145 | Concept_CD : DXC|QUESTION|AUTRE:45458 | NAME_CHAR : 027 - Poids (kg)
91. DocId : 71432 | Concept_CD : DXC|QUESTION|AUTRE:109792 | NAME_CHAR : 047 - Poids (kg)
92. DocId : 74743 | Concept_CD : DXC|QUESTION|AUTRE:50707 | NAME_CHAR : 003 - Poids (kg)
93. DocId : 74822 | Concept_CD : DXC|QUESTION|AUTRE:174726 | NAME_CHAR : 015 - Poids
94. DocId : 75790 | Concept_CD : DXC|QUESTION|AUTRE:61624 | NAME_CHAR : 002 - Poids
95. DocId : 76554 | Concept_CD : DXC|QUESTION|AUTRE:22951 | NAME_CHAR : 003 - Poids habituel
96. DocId : 78842 | Concept_CD : DXC|QUESTION|AUTRE:128710 | NAME_CHAR : 050 - Poids (Kg)
97. DocId : 79100 | Concept_CD : DXC|QUESTION|AUTRE:26178 | NAME_CHAR : 013 - Poids (Kg)
98. DocId : 80539 | Concept_CD : DXC|QUESTION|AUTRE:78988 | NAME_CHAR : 013 - Poids habituel
99. DocId : 80900 | Concept_CD : DXC|QUESTION|AUTRE:46988 | NAME_CHAR : 035 - Poids (kg)
100. DocId : 81395 | Concept_CD : DXC|QUESTION|AUTRE:130145 | NAME_CHAR : 019 - Poids
101. DocId : 81509 | Concept_CD : DXC|QUESTION|AUTRE:25717 | NAME_CHAR : 003 - Poids idéal
102. DocId : 81818 | Concept_CD : DXC|REPONSE:30153-30153|10557 | NAME_CHAR : Perte de poids
103. DocId : 82508 | Concept_CD : DXC|QUESTION|AUTRE:132155 | NAME_CHAR : 039 - Poids (kg)
104. DocId : 84188 | Concept_CD : DXC|QUESTION|BLOB:107310 | NAME_CHAR : 176 - Rappel Poids
105. DocId : 87393 | Concept_CD : DXC|QUESTION|AUTRE:133860 | NAME_CHAR : 078 - Poids
106. DocId : 88261 | Concept_CD : DXC|QUESTION|AUTRE:39046 | NAME_CHAR : 028 - Poids (kg)
107. DocId : 88275 | Concept_CD : DXC|QUESTION|AUTRE:12476 | NAME_CHAR : 010 - Poids minimum
108. DocId : 89063 | Concept_CD : DXC|QUESTION|AUTRE:71600 | NAME_CHAR : 020 - Poids
109. DocId : 89069 | Concept_CD : SYN|ANA:C7PS3 | NAME_CHAR : Poids des selles
110. DocId : 89738 | Concept_CD : DXC|QUESTION|AUTRE:108141 | NAME_CHAR : 015 - Poids (kg)
111. DocId : 90342 | Concept_CD : DXC|QUESTION|AUTRE:78593 | NAME_CHAR : 015 - Poids (kg)
112. DocId : 93100 | Concept_CD : DXC|QUESTION|AUTRE:150088 | NAME_CHAR : 012 - Poids :
113. DocId : 93576 | Concept_CD : DXC|QUESTION|AUTRE:158843 | NAME_CHAR : 049 - Poids :
114. DocId : 93766 | Concept_CD : DXC|QUESTION|AUTRE:85985 | NAME_CHAR : 008 - Poids habituel
115. DocId : 94511 | Concept_CD : DXC|QUESTION|AUTRE:87216 | NAME_CHAR : 001 - Poids (Kg)
116. DocId : 98365 | Concept_CD : DXC|REPONSE:4904-ICD10CHU|R63.4 | NAME_CHAR : Perte de poids anormale
117. DocId : 101906 | Concept_CD : DXC|QUESTION|BLOB:69338 | NAME_CHAR : 025 - Poids (Kg)
118. DocId : 102434 | Concept_CD : DXC|QUESTION|AUTRE:101304 | NAME_CHAR : 075 - Poids
119. DocId : 103845 | Concept_CD : DXC|REPONSE:48645-48645|27013 | NAME_CHAR : Mauvaise prise de poids
120. DocId : 104432 | Concept_CD : DXC|QUESTION|AUTRE:37719 | NAME_CHAR : 031 - Poids (kg)
121. DocId : 105158 | Concept_CD : DXC|QUESTION|AUTRE:132078 | NAME_CHAR : 026 - Poids (kg)
122. DocId : 105558 | Concept_CD : DXC|QUESTION|AUTRE:124613 | NAME_CHAR : 008 - Poids (kg)
123. DocId : 106138 | Concept_CD : DXC|REPONSE:68234-ICD10CHU|R63.4 | NAME_CHAR : Perte de poids anormale
124. DocId : 106176 | Concept_CD : DXC|QUESTION|AUTRE:135783 | NAME_CHAR : 008 - Poids (kg) 
125. DocId : 106531 | Concept_CD : DXC|REPONSE:135712-ICD10CHU|R63.4 | NAME_CHAR : Perte de poids anormale
126. DocId : 108191 | Concept_CD : DXC|QUESTION|AUTRE:47507 | NAME_CHAR : 026 - Poids (kg)
127. DocId : 108804 | Concept_CD : DXC|REPONSE:132731-132731|601121 | NAME_CHAR : Perte de poids
128. DocId : 108985 | Concept_CD : DXC|REPONSE:13633-ICD10CHU|R63.4 | NAME_CHAR : Perte de poids anormale
129. DocId : 109594 | Concept_CD : DXC|QUESTION|AUTRE:56644 | NAME_CHAR : 069 - Poids habituel
130. DocId : 110142 | Concept_CD : DXC|QUESTION|AUTRE:57443 | NAME_CHAR : 026 - Poids (kg)
131. DocId : 111444 | Concept_CD : DXC|QUESTION|AUTRE:73600 | NAME_CHAR : 038 - Poids
132. DocId : 113514 | Concept_CD : DXC|QUESTION|AUTRE:61894 | NAME_CHAR : 005 - Poids habituel
133. DocId : 113554 | Concept_CD : DXC|REPONSE:125425-125425|599117 | NAME_CHAR : Prise de poids
134. DocId : 114481 | Concept_CD : DXC|QUESTION|AUTRE:167542 | NAME_CHAR : 003 - Poids
135. DocId : 116636 | Concept_CD : DXC|QUESTION|AUTRE:5458 | NAME_CHAR : 068 - Poids bébé(s)
136. DocId : 117227 | Concept_CD : DXC|QUESTION|AUTRE:16435 | NAME_CHAR : 016 - Poids
137. DocId : 121942 | Concept_CD : DXC|QUESTION|AUTRE:159147 | NAME_CHAR : 083 - Poids
138. DocId : 126218 | Concept_CD : DXC|QUESTION|AUTRE:167982 | NAME_CHAR : 101 - Poids (kg)
139. DocId : 127200 | Concept_CD : DXC|QUESTION|AUTRE:151607 | NAME_CHAR : 015 - Poids :
140. DocId : 127432 | Concept_CD : DXC|QUESTION|AUTRE:104371 | NAME_CHAR : 003 - Poids (kg)
141. DocId : 128652 | Concept_CD : DXC|QUESTION|AUTRE:50122 | NAME_CHAR : 051 - Poids (kg)
142. DocId : 129076 | Concept_CD : DXC|QUESTION|AUTRE:148114 | NAME_CHAR : 058 - Poids (Kg)
143. DocId : 129481 | Concept_CD : DXC|QUESTION|AUTRE:163305 | NAME_CHAR : 013 - Poids :
144. DocId : 129787 | Concept_CD : DXC|QUESTION|AUTRE:27708 | NAME_CHAR : 007 - Poids
145. DocId : 130082 | Concept_CD : DXC|QUESTION|AUTRE:166310 | NAME_CHAR : 007 - Poids :
146. DocId : 131479 | Concept_CD : DXC|REPONSE:21528-ICD10CHU|R63.4 | NAME_CHAR : Perte de poids anormale
147. DocId : 131845 | Concept_CD : DXC|QUESTION|AUTRE:173024 | NAME_CHAR : 007 - Poids
148. DocId : 132771 | Concept_CD : DXC|QUESTION|AUTRE:21083 | NAME_CHAR : 093 - Poids
149. DocId : 135606 | Concept_CD : DXC|REPONSE:136159-136159|602782 | NAME_CHAR : Prise de poids
150. DocId : 137511 | Concept_CD : DXC|QUESTION|AUTRE:46453 | NAME_CHAR : 055 - Poids habituel
151. DocId : 138060 | Concept_CD : DXC|QUESTION|AUTRE:160128 | NAME_CHAR : 014 - Poids :
152. DocId : 138208 | Concept_CD : DXC|QUESTION|AUTRE:37963 | NAME_CHAR : 029 - Poids (kg)
153. DocId : 139086 | Concept_CD : DXC|QUESTION|AUTRE:46745 | NAME_CHAR : 026 - Poids (kg)
154. DocId : 139834 | Concept_CD : DXC|QUESTION|AUTRE:23973 | NAME_CHAR : 076 - Poids habituel
155. DocId : 141500 | Concept_CD : DXC|QUESTION|AUTRE:160493 | NAME_CHAR : 020 - Poids :
156. DocId : 141987 | Concept_CD : SYN|ANA:C7PS3 | NAME_CHAR : Poids des selles
157. DocId : 145606 | Concept_CD : DXC|QUESTION|AUTRE:7423 | NAME_CHAR : 068 - Poids bébé(s)
158. DocId : 147225 | Concept_CD : DXC|QUESTION|AUTRE:25609 | NAME_CHAR : 019 - Poids (kg)
159. DocId : 148241 | Concept_CD : DXC|REPONSE:136159-136159|602781 | NAME_CHAR : Perte de poids
160. DocId : 150000 | Concept_CD : DXC|QUESTION|AUTRE:177430 | NAME_CHAR : 117 - Poids (kg)
161. DocId : 151458 | Concept_CD : DXC|QUESTION|AUTRE:136159 | NAME_CHAR : 027 - Poids
162. DocId : 153120 | Concept_CD : DXC|QUESTION|BLOB:74577 | NAME_CHAR : 001 - Poids (Kg)
163. DocId : 154344 | Concept_CD : DXC|QUESTION|AUTRE:172993 | NAME_CHAR : 007 - Poids
164. DocId : 154993 | Concept_CD : DXC|QUESTION|AUTRE:63812 | NAME_CHAR : 100 - Poids habituel
165. DocId : 155212 | Concept_CD : DXC|QUESTION|AUTRE:134011 | NAME_CHAR : 008 - Poids
166. DocId : 155777 | Concept_CD : DXC|QUESTION|AUTRE:17572 | NAME_CHAR : 001 - Poids
167. DocId : 155938 | Concept_CD : DXC|QUESTION|AUTRE:134867 | NAME_CHAR : 033 - Poids
168. DocId : 155942 | Concept_CD : DXC|QUESTION|AUTRE:134693 | NAME_CHAR : 010 - Poids (kg)
169. DocId : 155999 | Concept_CD : DXC|QUESTION|AUTRE:107863 | NAME_CHAR : 041 - Poids (kg)
170. DocId : 156128 | Concept_CD : DXC|QUESTION|AUTRE:116979 | NAME_CHAR : 136 - Poids (kg)
171. DocId : 156409 | Concept_CD : DXC|REPONSE:89899-ICD10CHU|R63.4 | NAME_CHAR : Perte de poids anormale
172. DocId : 157661 | Concept_CD : DXC|QUESTION|AUTRE:161674 | NAME_CHAR : 008 - Poids cerso
173. DocId : 158938 | Concept_CD : DXC|QUESTION|AUTRE:182481 | NAME_CHAR : 003 - Poids (kg)
174. DocId : 159502 | Concept_CD : DXC|QUESTION|AUTRE:82814 | NAME_CHAR : 023 - Poids (kg)
175. DocId : 160051 | Concept_CD : DXC|QUESTION|AUTRE:39454 | NAME_CHAR : 025 - Poids (kg)
176. DocId : 160409 | Concept_CD : DXC|QUESTION|AUTRE:23232 | NAME_CHAR : 006 - Poids
177. DocId : 161154 | Concept_CD : DXC|REPONSE:25458-ICD10CHU|R63.4 | NAME_CHAR : Perte de poids anormale
178. DocId : 161401 | Concept_CD : DXC|QUESTION|AUTRE:45059 | NAME_CHAR : 026 - Poids (kg)
179. DocId : 162753 | Concept_CD : DXC|QUESTION|AUTRE:12216 | NAME_CHAR : 017 - Poids (Kg)
180. DocId : 163091 | Concept_CD : DXC|QUESTION|AUTRE:26841 | NAME_CHAR : 113 - Poids (kg)
181. DocId : 166056 | Concept_CD : DXC|QUESTION|AUTRE:22190 | NAME_CHAR : 008 - Poids (Kg)
182. DocId : 166180 | Concept_CD : DXC|QUESTION|AUTRE:116549 | NAME_CHAR : 003 - Poids (kg)
183. DocId : 167936 | Concept_CD : DXC|QUESTION|AUTRE:12474 | NAME_CHAR : 008 - Poids maximum
184. DocId : 168256 | Concept_CD : DXC|QUESTION|AUTRE:21073 | NAME_CHAR : 059 - Poids
185. DocId : 168960 | Concept_CD : DXC|QUESTION|AUTRE:132724 | NAME_CHAR : 134 - Poids
186. DocId : 169469 | Concept_CD : DXC|REPONSE:12978-12978|11161 | NAME_CHAR : Variation de poids
187. DocId : 169470 | Concept_CD : DXC|QUESTION|AUTRE:186690 | NAME_CHAR : 004 - Poids sec
188. DocId : 170235 | Concept_CD : DXC|REPONSE:8333-ICD10CHU|R63.4 | NAME_CHAR : Perte de poids anormale
189. DocId : 172983 | Concept_CD : DXC|REPONSE:12979-12979|11161 | NAME_CHAR : Variation de poids
190. DocId : 173538 | Concept_CD : DXC|QUESTION|AUTRE:154527 | NAME_CHAR : 021 - Poids (kg)
191. DocId : 173931 | Concept_CD : DXC|QUESTION|AUTRE:114140 | NAME_CHAR : 149 - Poids :
192. DocId : 175466 | Concept_CD : DXC|QUESTION|AUTRE:83387 | NAME_CHAR : 060 - Poids
193. DocId : 175489 | Concept_CD : DXC|QUESTION|AUTRE:52106 | NAME_CHAR : 001 - Poids (kg)
194. DocId : 177281 | Concept_CD : DXC|QUESTION|AUTRE:80262 | NAME_CHAR : 005 - Poids
195. DocId : 177756 | Concept_CD : DXC|QUESTION|AUTRE:124386 | NAME_CHAR : 008 - Poids (kg)
196. DocId : 178269 | Concept_CD : DXC|REPONSE:76038-76038|36520 | NAME_CHAR : Perte de Poids
197. DocId : 180661 | Concept_CD : DXC|QUESTION|AUTRE:11915 | NAME_CHAR : 003 - Poids
198. DocId : 181703 | Concept_CD : DXC|REPONSE:56650-56650|10557 | NAME_CHAR : Perte de poids
199. DocId : 182187 | Concept_CD : DXC|QUESTION|AUTRE:180912 | NAME_CHAR : 004 - Poids (kg)
200. DocId : 182831 | Concept_CD : DXC|QUESTION|AUTRE:13164 | NAME_CHAR : 007 - Poids (Kg)
201. DocId : 183333 | Concept_CD : DXC|QUESTION|AUTRE:117811 | NAME_CHAR : 106 - Poids (kg)
202. DocId : 183748 | Concept_CD : DXC|QUESTION|AUTRE:116205 | NAME_CHAR : 001 - Poids :
203. DocId : 184747 | Concept_CD : DXC|QUESTION|AUTRE:92234 | NAME_CHAR : 038 - Poids
204. DocId : 184761 | Concept_CD : DXC|QUESTION|AUTRE:130532 | NAME_CHAR : 011 - Poids
205. DocId : 186665 | Concept_CD : SYN|ANA:CJ1PD | NAME_CHAR : jour 1: poids
206. DocId : 188534 | Concept_CD : DXC|QUESTION|AUTRE:151070 | NAME_CHAR : 014 - Poids :
207. DocId : 190945 | Concept_CD : DXC|QUESTION|AUTRE:139186 | NAME_CHAR : 002 - Poids
208. DocId : 191293 | Concept_CD : DXC|QUESTION|AUTRE:56002 | NAME_CHAR : 001 - Poids (kg)
209. DocId : 192133 | Concept_CD : DXC|QUESTION|AUTRE:60409 | NAME_CHAR : 052 - Poids
210. DocId : 193353 | Concept_CD : PMSI:DIAGNOSIC-ICD10CHU|R63.4 | NAME_CHAR : Perte de poids anormale
211. DocId : 193763 | Concept_CD : DXC|QUESTION|AUTRE:67894 | NAME_CHAR : 071 - Poids (Kg)
212. DocId : 194234 | Concept_CD : DXC|QUESTION|AUTRE:75632 | NAME_CHAR : 008 - Poids (kg)
213. DocId : 194735 | Concept_CD : DXC|QUESTION|AUTRE:96021 | NAME_CHAR : 006 - Poids (kg)
214. DocId : 195898 | Concept_CD : DXC|REPONSE:21528-ICD10CHU|R63.5 | NAME_CHAR : Prise de poids anormale
215. DocId : 195967 | Concept_CD : DXC|QUESTION|AUTRE:39599 | NAME_CHAR : 031 - Poids (kg)
216. DocId : 197383 | Concept_CD : DXC|QUESTION|AUTRE:175502 | NAME_CHAR : 149 - Poids :
217. DocId : 198998 | Concept_CD : DXC|REPONSE:12980-12980|11161 | NAME_CHAR : Variation de poids
218. DocId : 200280 | Concept_CD : DXC|QUESTION|AUTRE:71794 | NAME_CHAR : 007 - Poids (g)
219. DocId : 203485 | Concept_CD : DXC|QUESTION|AUTRE:82975 | NAME_CHAR : 007 - Poids
220. DocId : 203757 | Concept_CD : DXC|QUESTION|AUTRE:166825 | NAME_CHAR : 019 - Poids
221. DocId : 204225 | Concept_CD : DXC|QUESTION|AUTRE:116602 | NAME_CHAR : 007 - Poids (kg)
222. DocId : 204365 | Concept_CD : DXC|QUESTION|AUTRE:177385 | NAME_CHAR : 012 - Poids (kg) 
223. DocId : 204500 | Concept_CD : DXC|QUESTION|AUTRE:131593 | NAME_CHAR : 006 - Poids
224. DocId : 204515 | Concept_CD : DXC|QUESTION|AUTRE:163924 | NAME_CHAR : 192 - Poids (g)
225. DocId : 204540 | Concept_CD : DXC|QUESTION|AUTRE:167474 | NAME_CHAR : 102 - Poids actuel
226. DocId : 205958 | Concept_CD : DXC|QUESTION|AUTRE:78689 | NAME_CHAR : 012 - Poids habituel
227. DocId : 206642 | Concept_CD : DXC|QUESTION|AUTRE:30147 | NAME_CHAR : 061 - Poids habituel
228. DocId : 206743 | Concept_CD : DXC|QUESTION|AUTRE:129507 | NAME_CHAR : 003 - Poids
229. DocId : 208818 | Concept_CD : DXC|QUESTION|AUTRE:176878 | NAME_CHAR : 009 - Poids actuel
230. DocId : 210820 | Concept_CD : SYN|ANA:CJ2PD | NAME_CHAR : jour 2: poids
231. DocId : 211098 | Concept_CD : DXC|QUESTION|AUTRE:109392 | NAME_CHAR : 007 - Poids (kg)
232. DocId : 211522 | Concept_CD : DXC|QUESTION|AUTRE:130180 | NAME_CHAR : 009 - Poids
233. DocId : 211791 | Concept_CD : DXC|QUESTION|AUTRE:148030 | NAME_CHAR : 040 - Poids (kg)
234. DocId : 212091 | Concept_CD : DXC|QUESTION|AUTRE:159704 | NAME_CHAR : 062 - Poids (kg)
235. DocId : 214021 | Concept_CD : DXC|REPONSE:6394-ICD10CHU|R63.4 | NAME_CHAR : Perte de poids anormale
236. DocId : 215258 | Concept_CD : DXC|QUESTION|AUTRE:95689 | NAME_CHAR : 001 - Poids (Kg)
237. DocId : 215609 | Concept_CD : DXC|QUESTION|AUTRE:16149 | NAME_CHAR : 005 - Poids
238. DocId : 216006 | Concept_CD : DXC|QUESTION|AUTRE:98259 | NAME_CHAR : 003 - Poids (kg)
239. DocId : 217713 | Concept_CD : SYN|ANA:C7PS3 | NAME_CHAR : Poids des selles
240. DocId : 218008 | Concept_CD : DXC|QUESTION|AUTRE:172408 | NAME_CHAR : 007 - Poids
