1. DocId : 3112 | Concept_CD : SYN|ANA:CY607 | NAME_CHAR : CLAIRANCE CREATININE
47. DocId : 142093 | Concept_CD : SYN|ANA:C1CRS | NAME_CHAR : CREATININE sg
48. DocId : 145083 | Concept_CD : SYN|ANA:C1CRS | NAME_CHAR : CREATININE sg
49. DocId : 147399 | Concept_CD : SYN|ANA:C1CRS | NAME_CHAR : CREATININE sg
50. DocId : 147556 | Concept_CD : SYN|ANA:C1CRU | NAME_CHAR : CREATININE ur
51. DocId : 147594 | Concept_CD : SYN|ANA:CY607 | NAME_CHAR : CLAIRANCE CREATININE
52. DocId : 153016 | Concept_CD : SYN|ANA:C1CRU | NAME_CHAR : CREATININE ur
53. DocId : 154831 | Concept_CD : SYN|ANA:C1CRS | NAME_CHAR : CREATININE sg
54. DocId : 154995 | Concept_CD : SYN|ANA:C1CRS | NAME_CHAR : CREATININE sg
55. DocId : 159598 | Concept_CD : SYN|ANA:C1CRU | NAME_CHAR : CREATININE ur
56. DocId : 162860 | Concept_CD : SYN|ANA:C1CRD | NAME_CHAR : CREATININE dialyse
57. DocId : 165220 | Concept_CD : SYN|ANA:C1CRS | NAME_CHAR : CREATININE sg
58. DocId : 172737 | Concept_CD : SYN|ANA:C1CRU | NAME_CHAR : CREATININE ur
59. DocId : 174105 | Concept_CD : SYN|ANA:CY607 | NAME_CHAR : CLAIRANCE CREATININE
60. DocId : 177414 | Concept_CD : SYN|ANA:C1CRS | NAME_CHAR : CREATININE sg
61. DocId : 177820 | Concept_CD : SYN|ANA:C1CRS | NAME_CHAR : CREATININE sg
62. DocId : 180447 | Concept_CD : SYN|ANA:C1CRU | NAME_CHAR : CREATININE ur
63. DocId : 183185 | Concept_CD : SYN|ANA:C1CRS | NAME_CHAR : CREATININE sg
64. DocId : 183470 | Concept_CD : SYN|ANA:C1CRU | NAME_CHAR : CREATININE ur
65. DocId : 187951 | Concept_CD : SYN|ANA:C1CRS | NAME_CHAR : CREATININE sg
66. DocId : 188529 | Concept_CD : SYN|ANA:C1CRS | NAME_CHAR : CREATININE sg
67. DocId : 189102 | Concept_CD : SYN|ANA:C1CRS | NAME_CHAR : CREATININE sg
68. DocId : 195358 | Concept_CD : SYN|ANA:C1CRS | NAME_CHAR : CREATININE sg
69. DocId : 196807 | Concept_CD : SYN|ANA:C1CRU | NAME_CHAR : CREATININE ur
70. DocId : 196907 | Concept_CD : SYN|ANA:C1CRU | NAME_CHAR : CREATININE ur
71. DocId : 196946 | Concept_CD : SYN|ANA:C1CRS | NAME_CHAR : CREATININE sg
72. DocId : 207473 | Concept_CD : SYN|ANA:C1CRS | NAME_CHAR : CREATININE sg
73. DocId : 208196 | Concept_CD : SYN|ANA:C1CRU | NAME_CHAR : CREATININE ur
74. DocId : 208763 | Concept_CD : SYN|ANA:C1CRS | NAME_CHAR : CREATININE sg
75. DocId : 209117 | Concept_CD : SYN|ANA:C1CRS | NAME_CHAR : CREATININE sg
76. DocId : 209851 | Concept_CD : SYN|ANA:C1CRS | NAME_CHAR : CREATININE sg
77. DocId : 209873 | Concept_CD : SYN|ANA:C0CRU | NAME_CHAR : CREATININE ur
78. DocId : 211119 | Concept_CD : SYN|ANA:C1CRU | NAME_CHAR : CREATININE ur
79. DocId : 213840 | Concept_CD : SYN|ANA:C1CRS | NAME_CHAR : CREATININE sg
80. DocId : 216225 | Concept_CD : SYN|ANA:C1CRS | NAME_CHAR : CREATININE sg
81. DocId : 223992 | Concept_CD : SYN|ANA:C1CRS | NAME_CHAR : CREATININE sg
82. DocId : 225931 | Concept_CD : SYN|ANA:C1CRS | NAME_CHAR : CREATININE sg
83. DocId : 227340 | Concept_CD : SYN|ANA:CY607 | NAME_CHAR : CLAIRANCE CREATININE
84. DocId : 231997 | Concept_CD : SYN|ANA:C1CRU | NAME_CHAR : CREATININE ur
85. DocId : 232087 | Concept_CD : SYN|ANA:C1CRS | NAME_CHAR : CREATININE sg
86. DocId : 237475 | Concept_CD : SYN|ANA:C1CRU | NAME_CHAR : CREATININE ur
87. DocId : 238166 | Concept_CD : SYN|ANA:C1CRU | NAME_CHAR : CREATININE ur
88. DocId : 238543 | Concept_CD : SYN|ANA:C1CRD | NAME_CHAR : CREATININE dialyse
89. DocId : 246757 | Concept_CD : SYN|ANA:C1CRS | NAME_CHAR : CREATININE sg
90. DocId : 248185 | Concept_CD : SYN|ANA:C1CRU | NAME_CHAR : CREATININE ur
91. DocId : 256615 | Concept_CD : SYN|ANA:C1CRU | NAME_CHAR : CREATININE ur
92. DocId : 258737 | Concept_CD : SYN|ANA:C1CRU | NAME_CHAR : CREATININE ur
93. DocId : 258896 | Concept_CD : SYN|ANA:C1CRS | NAME_CHAR : CREATININE sg
94. DocId : 263495 | Concept_CD : SYN|ANA:C1CRS | NAME_CHAR : CREATININE sg
95. DocId : 273780 | Concept_CD : SYN|ANA:C1CRD | NAME_CHAR : CREATININE dialyse
96. DocId : 274193 | Concept_CD : SYN|ANA:C0CRU | NAME_CHAR : CREATININE ur
97. DocId : 282575 | Concept_CD : SYN|ANA:C1CRU | NAME_CHAR : CREATININE ur
98. DocId : 282752 | Concept_CD : SYN|ANA:C1CRU | NAME_CHAR : CREATININE ur
99. DocId : 284036 | Concept_CD : SYN|ANA:C1CRS | NAME_CHAR : CREATININE sg
100. DocId : 285445 | Concept_CD : SYN|ANA:C1CRS | NAME_CHAR : CREATININE sg
101. DocId : 286801 | Concept_CD : SYN|ANA:C1CRU | NAME_CHAR : CREATININE ur
102. DocId : 290050 | Concept_CD : SYN|ANA:C1CRS | NAME_CHAR : CREATININE sg
103. DocId : 292883 | Concept_CD : SYN|ANA:C1CRS | NAME_CHAR : CREATININE sg
104. DocId : 293751 | Concept_CD : SYN|ANA:C1CRU | NAME_CHAR : CREATININE ur
105. DocId : 293780 | Concept_CD : SYN|ANA:C0CRS | NAME_CHAR : CREATININE sg
106. DocId : 294462 | Concept_CD : SYN|ANA:C1CRU | NAME_CHAR : CREATININE ur
107. DocId : 296337 | Concept_CD : SYN|ANA:C1CRS | NAME_CHAR : CREATININE sg
108. DocId : 300616 | Concept_CD : SYN|ANA:C1CRS | NAME_CHAR : CREATININE sg
109. DocId : 303528 | Concept_CD : SYN|ANA:C1CRU | NAME_CHAR : CREATININE ur
110. DocId : 307334 | Concept_CD : SYN|ANA:C1CRU | NAME_CHAR : CREATININE ur
111. DocId : 311784 | Concept_CD : SYN|ANA:C1CRS | NAME_CHAR : CREATININE sg
112. DocId : 313001 | Concept_CD : SYN|ANA:C0CRU | NAME_CHAR : CREATININE ur
113. DocId : 319391 | Concept_CD : SYN|ANA:C1CRU | NAME_CHAR : CREATININE ur
114. DocId : 322308 | Concept_CD : SYN|ANA:CY607 | NAME_CHAR : CLAIRANCE CREATININE
115. DocId : 323299 | Concept_CD : SYN|ANA:C1CRS | NAME_CHAR : CREATININE sg
116. DocId : 325507 | Concept_CD : SYN|ANA:C1CRU | NAME_CHAR : CREATININE ur
117. DocId : 333076 | Concept_CD : SYN|ANA:C1CRS | NAME_CHAR : CREATININE sg
118. DocId : 334897 | Concept_CD : SYN|ANA:C1CRU | NAME_CHAR : CREATININE ur
119. DocId : 334931 | Concept_CD : SYN|ANA:C1CRS | NAME_CHAR : CREATININE sg
120. DocId : 341837 | Concept_CD : SYN|ANA:C1CRU | NAME_CHAR : CREATININE ur
121. DocId : 342910 | Concept_CD : SYN|ANA:C0CRU | NAME_CHAR : CREATININE ur
122. DocId : 344165 | Concept_CD : SYN|ANA:C1CRS | NAME_CHAR : CREATININE sg
123. DocId : 344597 | Concept_CD : SYN|ANA:C1CRU | NAME_CHAR : CREATININE ur
124. DocId : 346837 | Concept_CD : SYN|ANA:C1CRU | NAME_CHAR : CREATININE ur
125. DocId : 349775 | Concept_CD : SYN|ANA:C1CRU | NAME_CHAR : CREATININE ur
126. DocId : 350905 | Concept_CD : SYN:ANA-C1CRS | NAME_CHAR : CREATININE sg
127. DocId : 359083 | Concept_CD : SYN|ANA:C1CRS | NAME_CHAR : CREATININE sg
128. DocId : 360639 | Concept_CD : SYN|ANA:CY607 | NAME_CHAR : CLAIRANCE CREATININE
129. DocId : 361041 | Concept_CD : SYN|ANA:C1CRU | NAME_CHAR : CREATININE ur
130. DocId : 364464 | Concept_CD : SYN:ANA-C1CRS | NAME_CHAR : CREATININE sg
131. DocId : 366062 | Concept_CD : SYN|ANA:C1CRU | NAME_CHAR : CREATININE ur
132. DocId : 366419 | Concept_CD : SYN|ANA:C1CRU | NAME_CHAR : CREATININE ur
133. DocId : 369662 | Concept_CD : SYN|ANA:C1CRS | NAME_CHAR : CREATININE sg
134. DocId : 372482 | Concept_CD : SYN|ANA:C1CRS | NAME_CHAR : CREATININE sg
135. DocId : 372642 | Concept_CD : SYN|ANA:C1CRS | NAME_CHAR : CREATININE sg
136. DocId : 372937 | Concept_CD : SYN|ANA:C1CRS | NAME_CHAR : CREATININE sg
137. DocId : 375087 | Concept_CD : SYN|ANA:C1CRU | NAME_CHAR : CREATININE ur
138. DocId : 11340 | Concept_CD : SYN|ANA:C1CR4 | NAME_CHAR : CREATININE ur tp 4
139. DocId : 11729 | Concept_CD : SYN|ANA:C1CRM | NAME_CHAR : CREATININE ur MM
140. DocId : 22963 | Concept_CD : SYN|ANA:C1CR2 | NAME_CHAR : CREATININE ur tp 2
141. DocId : 29996 | Concept_CD : SYN|ANA:C1CD3 | NAME_CHAR : CREATININE dial 3
142. DocId : 30290 | Concept_CD : SYN|ANA:C1CRM | NAME_CHAR : CREATININE ur MM
143. DocId : 31373 | Concept_CD : SYN|ANA:CY621 | NAME_CHAR : CLAIRANCE CREAT COR
144. DocId : 33848 | Concept_CD : SYN|ANA:CY702 | NAME_CHAR : Oxal / Creat
145. DocId : 34193 | Concept_CD : SYN|ANA:C1CR2 | NAME_CHAR : CREATININE ur tp 2
146. DocId : 34668 | Concept_CD : SYN|ANA:C1CRM | NAME_CHAR : CREATININE ur MM
147. DocId : 35435 | Concept_CD : SYN|ANA:C1CRM | NAME_CHAR : CREATININE ur MM
148. DocId : 36090 | Concept_CD : SYN|ANA:CY695 | NAME_CHAR : CLAIRANCE CREAT  t1
149. DocId : 36814 | Concept_CD : SYN|ANA:C1CD2 | NAME_CHAR : CREATININE dial 2
150. DocId : 38695 | Concept_CD : SYN|ANA:CY697 | NAME_CHAR : CLAIRANCE CREAT  t2
151. DocId : 38949 | Concept_CD : SYN|ANA:C1CR3 | NAME_CHAR : CREATININE ur tp 3
152. DocId : 45737 | Concept_CD : SYN|ANA:C1CS2 | NAME_CHAR : CREATININE sg tps 2
153. DocId : 49445 | Concept_CD : DXC|REPONSE:17042-17042|2555 | NAME_CHAR : Créat > 200
154. DocId : 50907 | Concept_CD : SYN|ANA:C1CR1 | NAME_CHAR : CREATININE ur tp 1
155. DocId : 55981 | Concept_CD : DXC|QUESTION|AUTRE:83725 | NAME_CHAR : 002 - Creatinine test
156. DocId : 57077 | Concept_CD : SYN|ANA:C1CR4 | NAME_CHAR : CREATININE ur tp 4
157. DocId : 57441 | Concept_CD : SYN|ANA:C1CR6 | NAME_CHAR : CREATININE ur tp 6
158. DocId : 58968 | Concept_CD : SYN|ANA:C1CR0 | NAME_CHAR : CREATININE ur tp 0
159. DocId : 64904 | Concept_CD : SYN|ANA:CY314 | NAME_CHAR : CUA1M / CREAT UR
160. DocId : 66308 | Concept_CD : DXC|REPONSE:46211-46211|2556 | NAME_CHAR : Créat < 200
161. DocId : 66376 | Concept_CD : SYN|ANA:C1CR2 | NAME_CHAR : CREATININE ur tp 2
162. DocId : 70305 | Concept_CD : SYN|ANA:C1CD5 | NAME_CHAR : CREATININE dial 5
163. DocId : 70882 | Concept_CD : SYN|ANA:CY187 | NAME_CHAR : TRANF U/ CREAT U
164. DocId : 73440 | Concept_CD : SYN|ANA:CY695 | NAME_CHAR : CLAIRANCE CREAT  t1
165. DocId : 76750 | Concept_CD : SYN|ANA:C1CR6 | NAME_CHAR : CREATININE ur tp 6
166. DocId : 77583 | Concept_CD : SYN|ANA:C1CRM | NAME_CHAR : CREATININE ur MM
167. DocId : 83657 | Concept_CD : SYN|ANA:CY691 | NAME_CHAR : CLAIRANCE CREAT COR
168. DocId : 85210 | Concept_CD : SYN|ANA:C1CD2 | NAME_CHAR : CREATININE dial 2
169. DocId : 85308 | Concept_CD : SYN|ANA:C1CR4 | NAME_CHAR : CREATININE ur tp 4
170. DocId : 86430 | Concept_CD : SYN|ANA:CY262 | NAME_CHAR : Elim Creat  prlv 4
171. DocId : 88242 | Concept_CD : SYN|ANA:C1CR6 | NAME_CHAR : CREATININE ur tp 6
172. DocId : 89088 | Concept_CD : SYN|ANA:C1CRM | NAME_CHAR : CREATININE ur MM
173. DocId : 93423 | Concept_CD : SYN|ANA:DCR | NAME_CHAR : CREATININE art del
174. DocId : 94750 | Concept_CD : SYN|ANA:C1CR5 | NAME_CHAR : CREATININE ur tp 5
175. DocId : 95419 | Concept_CD : SYN|ANA:CY697 | NAME_CHAR : CLAIRANCE CREAT  t2
176. DocId : 100759 | Concept_CD : SYN|ANA:C1CRM | NAME_CHAR : CREATININE ur MM
177. DocId : 105748 | Concept_CD : SYN|ANA:C1CR3 | NAME_CHAR : CREATININE ur tp 3
178. DocId : 106987 | Concept_CD : SYN|ANA:C1CRM | NAME_CHAR : CREATININE ur MM
179. DocId : 113578 | Concept_CD : SYN|ANA:C1CR4 | NAME_CHAR : CREATININE ur tp 4
180. DocId : 113899 | Concept_CD : SYN|ANA:CY762 | NAME_CHAR : CLAIRANCE CREAT  t7
181. DocId : 116352 | Concept_CD : SYN|ANA:C1CR4 | NAME_CHAR : CREATININE ur tp 4
182. DocId : 121329 | Concept_CD : SYN|ANA:C1CRM | NAME_CHAR : CREATININE ur MM
183. DocId : 124107 | Concept_CD : SYN|ANA:C1CR5 | NAME_CHAR : CREATININE ur tp 5
184. DocId : 126065 | Concept_CD : SYN|ANA:C1CR1 | NAME_CHAR : CREATININE ur tp 1
185. DocId : 127330 | Concept_CD : SYN|ANA:C1CR4 | NAME_CHAR : CREATININE ur tp 4
186. DocId : 129493 | Concept_CD : SYN|ANA:C1CR2 | NAME_CHAR : CREATININE ur tp 2
187. DocId : 132240 | Concept_CD : SYN|ANA:C1CD6 | NAME_CHAR : CREATININE dial 6
188. DocId : 134123 | Concept_CD : SYN|ANA:C1CR1 | NAME_CHAR : CREATININE ur tp 1
189. DocId : 137642 | Concept_CD : SYN|ANA:C1CR1 | NAME_CHAR : CREATININE ur tp 1
190. DocId : 138289 | Concept_CD : SYN|ANA:C1CR5 | NAME_CHAR : CREATININE ur tp 5
191. DocId : 138903 | Concept_CD : SYN|ANA:C1CR6 | NAME_CHAR : CREATININE ur tp 6
192. DocId : 140834 | Concept_CD : SYN|ANA:C1CR2 | NAME_CHAR : CREATININE ur tp 2
193. DocId : 140938 | Concept_CD : SYN|ANA:CY314 | NAME_CHAR : CUA1M / CREAT UR
194. DocId : 147274 | Concept_CD : SYN|ANA:CY283 | NAME_CHAR : Cl/ Créat ur t2
195. DocId : 149615 | Concept_CD : SYN|ANA:C1CD1 | NAME_CHAR : CREATININE dial 1
196. DocId : 149888 | Concept_CD : SYN|ANA:C1CR1 | NAME_CHAR : CREATININE ur tp 1
197. DocId : 152094 | Concept_CD : SYN|ANA:C1CD3 | NAME_CHAR : CREATININE dial 3
198. DocId : 155742 | Concept_CD : SYN|ANA:C1CR5 | NAME_CHAR : CREATININE ur tp 5
199. DocId : 162024 | Concept_CD : SYN|ANA:CY239 | NAME_CHAR : Coti / Creat
200. DocId : 164896 | Concept_CD : SYN|ANA:C1CRM | NAME_CHAR : CREATININE ur MM
201. DocId : 166706 | Concept_CD : SYN|ANA:CY760 | NAME_CHAR : CLAIRANCE CREAT  t5
202. DocId : 167964 | Concept_CD : SYN|ANA:C1CD2 | NAME_CHAR : CREATININE dial 2
203. DocId : 173011 | Concept_CD : SYN|ANA:CY698 | NAME_CHAR : CLAIRANCE CREAT  t3
204. DocId : 174623 | Concept_CD : SYN|ANA:C1CR7 | NAME_CHAR : CREATININE ur tp 7
205. DocId : 176043 | Concept_CD : SYN|ANA:C1CR1 | NAME_CHAR : CREATININE ur tp 1
206. DocId : 181469 | Concept_CD : SYN|ANA:CY687 | NAME_CHAR : CLAIRANCE CREAT  sa
207. DocId : 184707 | Concept_CD : SYN|ANA:C1CR3 | NAME_CHAR : CREATININE ur tp 3
208. DocId : 185585 | Concept_CD : SYN|ANA:C1CD6 | NAME_CHAR : CREATININE dial 6
209. DocId : 186447 | Concept_CD : SYN|ANA:C1CR3 | NAME_CHAR : CREATININE ur tp 3
210. DocId : 191102 | Concept_CD : SYN|ANA:C1CR1 | NAME_CHAR : CREATININE ur tp 1
211. DocId : 192754 | Concept_CD : SYN|ANA:C1CRM | NAME_CHAR : CREATININE ur MM
212. DocId : 196207 | Concept_CD : SYN|ANA:C2CR3 | NAME_CHAR : CREATININE sg P3
213. DocId : 198071 | Concept_CD : SYN|ANA:C1CR3 | NAME_CHAR : CREATININE ur tp 3
214. DocId : 199758 | Concept_CD : SYN|ANA:C1CR1 | NAME_CHAR : CREATININE ur tp 1
215. DocId : 211952 | Concept_CD : SYN|ANA:C1CR2 | NAME_CHAR : CREATININE ur tp 2
216. DocId : 217180 | Concept_CD : SYN|ANA:CY200 | NAME_CHAR : Créat ur en g/l
217. DocId : 219290 | Concept_CD : SYN|ANA:C1CR1 | NAME_CHAR : CREATININE ur tp 1
218. DocId : 220410 | Concept_CD : SYN|ANA:C1CRM | NAME_CHAR : CREATININE ur MM
219. DocId : 225054 | Concept_CD : SYN|ANA:C1CR2 | NAME_CHAR : CREATININE ur tp 2
220. DocId : 226509 | Concept_CD : SYN|ANA:C1CRX | NAME_CHAR : CREATININE liq bio
221. DocId : 229017 | Concept_CD : SYN|ANA:C1CR0 | NAME_CHAR : CREATININE ur tp 0
222. DocId : 236637 | Concept_CD : SYN|ANA:C1CRM | NAME_CHAR : CREATININE ur MM
223. DocId : 238861 | Concept_CD : SYN|ANA:C1CD0 | NAME_CHAR : CREATININE dial 0
224. DocId : 241889 | Concept_CD : SYN|ANA:C1CR4 | NAME_CHAR : CREATININE ur tp 4
225. DocId : 246626 | Concept_CD : SYN|ANA:C1CR1 | NAME_CHAR : CREATININE ur tp 1
226. DocId : 246988 | Concept_CD : SYN|ANA:CY698 | NAME_CHAR : CLAIRANCE CREAT  t3
227. DocId : 247067 | Concept_CD : SYN|ANA:C1C12 | NAME_CHAR : CREATININE ur 12h
228. DocId : 253869 | Concept_CD : SYN|ANA:CY261 | NAME_CHAR : Elim Creat  prlv 3
229. DocId : 255089 | Concept_CD : SYN|ANA:C1CR3 | NAME_CHAR : CREATININE ur tp 3
230. DocId : 261539 | Concept_CD : SYN|ANA:C1CD4 | NAME_CHAR : CREATININE dial 4
231. DocId : 266571 | Concept_CD : SYN|ANA:CY699 | NAME_CHAR : CLAIRANCE CREAT  t4
232. DocId : 267560 | Concept_CD : SYN|ANA:C1CR0 | NAME_CHAR : CREATININE ur tp 0
233. DocId : 267730 | Concept_CD : SYN|ANA:C1CD5 | NAME_CHAR : CREATININE dial 5
234. DocId : 273223 | Concept_CD : SYN|ANA:CY697 | NAME_CHAR : CLAIRANCE CREAT  t2
235. DocId : 280739 | Concept_CD : SYN|ANA:CY695 | NAME_CHAR : CLAIRANCE CREAT  t1
236. DocId : 284481 | Concept_CD : SYN|ANA:C1CR4 | NAME_CHAR : CREATININE ur tp 4
237. DocId : 285611 | Concept_CD : SYN|ANA:C1CR3 | NAME_CHAR : CREATININE ur tp 3
238. DocId : 290380 | Concept_CD : SYN|ANA:C1CR5 | NAME_CHAR : CREATININE ur tp 5
239. DocId : 294240 | Concept_CD : SYN|ANA:C1CR7 | NAME_CHAR : CREATININE ur tp 7
240. DocId : 301022 | Concept_CD : SYN|ANA:C1CR2 | NAME_CHAR : CREATININE ur tp 2
241. DocId : 306892 | Concept_CD : SYN|ANA:C1CRM | NAME_CHAR : CREATININE ur MM
242. DocId : 309044 | Concept_CD : SYN|ANA:C1CRM | NAME_CHAR : CREATININE ur MM
243. DocId : 310991 | Concept_CD : DXC|QUESTION|AUTRE:83728 | NAME_CHAR : 005 - Clairance creat
244. DocId : 311761 | Concept_CD : SYN|ANA:C1CR2 | NAME_CHAR : CREATININE ur tp 2
245. DocId : 312908 | Concept_CD : SYN|ANA:C1CR3 | NAME_CHAR : CREATININE ur tp 3
246. DocId : 313520 | Concept_CD : SYN|ANA:CYCR2 | NAME_CHAR : Elim Creat  prlv 2
247. DocId : 316777 | Concept_CD : SYN|ANA:CY761 | NAME_CHAR : CLAIRANCE CREAT  t6
248. DocId : 317147 | Concept_CD : SYN|ANA:CY702 | NAME_CHAR : Oxal / Creat
249. DocId : 327977 | Concept_CD : DXC|REPONSE:17042-17042|2556 | NAME_CHAR : Créat < 200
250. DocId : 333628 | Concept_CD : SYN|ANA:C1CD1 | NAME_CHAR : CREATININE dial 1
251. DocId : 335067 | Concept_CD : SYN|ANA:C1CD1 | NAME_CHAR : CREATININE dial 1
252. DocId : 335981 | Concept_CD : SYN|ANA:C1CR2 | NAME_CHAR : CREATININE ur tp 2
253. DocId : 337821 | Concept_CD : SYN|ANA:C1CR3 | NAME_CHAR : CREATININE ur tp 3
254. DocId : 337896 | Concept_CD : SYN|ANA:CY687 | NAME_CHAR : CLAIRANCE CREAT  sa
255. DocId : 338284 | Concept_CD : SYN|ANA:C1CRX | NAME_CHAR : CREATININE liq bio
256. DocId : 340938 | Concept_CD : SYN|ANA:C1CD4 | NAME_CHAR : CREATININE dial 4
257. DocId : 343438 | Concept_CD : DXC|REPONSE:46211-46211|2555 | NAME_CHAR : Créat > 200
258. DocId : 352907 | Concept_CD : SYN|ANA:C1C12 | NAME_CHAR : CREATININE ur 12h
259. DocId : 354475 | Concept_CD : SYN|ANA:C1CD3 | NAME_CHAR : CREATININE dial 3
260. DocId : 354747 | Concept_CD : SYN|ANA:CYCR1 | NAME_CHAR : Elim Creat  prlv 1
261. DocId : 361872 | Concept_CD : SYN|ANA:C1CRM | NAME_CHAR : CREATININE ur MM
262. DocId : 374529 | Concept_CD : SYN|ANA:CY285 | NAME_CHAR : Na ur/ Créat ur
263. DocId : 376288 | Concept_CD : SYN|ANA:C1CR7 | NAME_CHAR : CREATININE ur tp 7
264. DocId : 98 | Concept_CD : SYN|ANA:CY275 | NAME_CHAR : Ca / Créat ur t3
265. DocId : 19532 | Concept_CD : SYN|ANA:CY280 | NAME_CHAR : K / Créat ur t2
266. DocId : 76966 | Concept_CD : SYN|ANA:CY276 | NAME_CHAR : Na / Créat ur t1
267. DocId : 89118 | Concept_CD : SYN|ANA:CY277 | NAME_CHAR : Na / Créat ur t2
268. DocId : 99625 | Concept_CD : SYN|ANA:CY276 | NAME_CHAR : Na / Créat ur t1
269. DocId : 102991 | Concept_CD : SYN|ANA:CY280 | NAME_CHAR : K / Créat ur t2
270. DocId : 140087 | Concept_CD : SYN|ANA:CY281 | NAME_CHAR : K / Créat ur t3
271. DocId : 191712 | Concept_CD : SYN|ANA:CY282 | NAME_CHAR : Cl / Créat ur t1
272. DocId : 242470 | Concept_CD : SYN|ANA:CY279 | NAME_CHAR : K / Créat ur t1
